id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_itis_confession,access_itis_confession,model_itis_confession,,1,1,1,1
access_itis_employee_children,access_itis_employee_children,model_itis_employee_children,,1,1,1,1
access_itis_limitation_reason,access_itis_limitation_reason,model_itis_limitation_reason,,1,1,1,1
access_itis_hr_contact_manager,access_itis_hr_contact_manager,model_itis_hr_contact,,1,1,1,1
access_itis_fte_report,access_itis_fte_report,model_fte_report,,1,1,1,1
access_itis_fte_records,access_itis_fre_report,model_fte_records,,1,1,1,1
access_itis_create_fte,access_itis_create_fte,model_create_fte,,1,1,1,1
access_hr_employee_fte,access_hr_employee_fte,model_hr_employee_fte,,1,1,1,1
access_itis_hr_contact_manager,access_itis_hr_contact_manager,model_itis_hr_contact,,1,1,1,1
access_hr_leave_journal,access_hr_leave_journal,model_hr_leave_journal,,1,1,1,1
access_hr_payslip_read,access_hr_payslip_read,hr_payroll.model_hr_payslip,,1,1,1,1
access_leave_time_read,access_leave_time_read,model_leave_time,base.group_user,1,0,0,0
access_hr_contract_read,access_hr_contract_read,hr_contract.model_hr_contract,base.group_user,1,0,0,0
access_resource_calendar_read,access_resource_calendar_read,resource.model_resource_calendar,base.group_user,1,0,0,0
access_resource_calendar_attendance_read,access_resource_calendar_attendance_read,resource.model_resource_calendar_attendance,base.group_user,1,0,0,0
access_itis_emp_report,access_itis_emp_report,model_employee_report,,1,1,1,1
access_itis_emp_report_data,access_itis_emp_report_data,model_employee_report_data,,1,1,1,1
access_itis_health,access_itis_health,model_hr_health_insurance,,1,1,1,1
access_itis_family,access_itis_family,model_hr_family_status,,1,1,1,1
access_itis_leave_days_calc_error,access_itis_leave_days_calc_error,model_itis_leave_days_calc_error,,1,1,1,1
access_itis_employee_meeting,access_employee_meeting,model_employee_meeting,,1,1,1,1
access_itis_employee_instruction,access_employee_instruction,model_employee_instruction,,1,1,1,1
access_itis_planned_jobs,access_planned_jobs,model_planned_job,,1,1,1,1
access_itis_contract_type,access_contract_type,model_itis_contract_type,,1,1,1,1
access_itis_model_employee_overtime_count,access_model_employee_overtime_count,model_employee_overtime_count,,1,1,1,1
access_hr_rule_input,access_hr_rule_input_read,hr_payroll.model_hr_rule_input,,1,1,1,1
access_hr_payslip_worked_days,access_hr_payslip_worked_days_read,hr_payroll.model_hr_payslip_worked_days,,1,1,1,1
access_res_partner,access_res_partner_read,base.model_res_partner,,1,1,1,1
access_hr_leave_nextyear,access_hr_leave_nextyear_read,model_hr_leave_nextyear,,1,1,1,1


